<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20121008,104821,158.28000,20
GAZP,0,20121008,104821,158.28000,10
GAZP,0,20121008,104821,158.28000,70
GAZP,0,20121008,104821,158.28000,70
GAZP,0,20121008,104821,158.28000,70
GAZP,0,20121008,104821,158.29000,150
GAZP,0,20121008,104821,158.29000,2250
GAZP,0,20121008,104821,158.29000,1000
GAZP,0,20121008,104821,158.30000,1720
GAZP,0,20121008,104821,158.30000,250
GAZP,0,20121008,104821,158.30000,800
GAZP,0,20121008,104821,158.30000,3280
GAZP,0,20121008,104826,158.30000,100
GAZP,0,20121008,104828,158.30000,2000
GAZP,0,20121008,104828,158.30000,100
GAZP,0,20121008,104831,158.32000,10
GAZP,0,20121008,104834,158.32000,1190
GAZP,0,20121008,104839,158.30000,1200
GAZP,0,20121008,104840,158.33000,100
GAZP,0,20121008,104840,158.33000,100
GAZP,0,20121008,104840,158.33000,990
GAZP,0,20121008,104840,158.33000,10
GAZP,0,20121008,104840,158.33000,400
GAZP,0,20121008,104840,158.33000,400
GAZP,0,20121008,104843,158.33000,50
GAZP,0,20121008,104843,158.33000,1960
GAZP,0,20121008,104843,158.34000,540
GAZP,0,20121008,104846,158.34000,70
GAZP,0,20121008,104846,158.34000,30
GAZP,0,20121008,104846,158.30000,30
GAZP,0,20121008,104847,158.30000,60
GAZP,0,20121008,104848,158.31000,60
GAZP,0,20121008,104848,158.32000,100
GAZP,0,20121008,104849,158.33000,10
GAZP,0,20121008,104849,158.33000,400
GAZP,0,20121008,104849,158.33000,400
GAZP,0,20121008,104849,158.33000,400
GAZP,0,20121008,104849,158.33000,400
GAZP,0,20121008,104849,158.33000,400
GAZP,0,20121008,104849,158.33000,400
GAZP,0,20121008,104850,158.33000,400
GAZP,0,20121008,104850,158.33000,10
GAZP,0,20121008,104850,158.33000,400
GAZP,0,20121008,104850,158.33000,400
GAZP,0,20121008,104850,158.33000,400
GAZP,0,20121008,104850,158.33000,400
GAZP,0,20121008,104851,158.33000,100
GAZP,0,20121008,104851,158.33000,400
GAZP,0,20121008,104851,158.33000,300
GAZP,0,20121008,104851,158.33000,400
GAZP,0,20121008,104851,158.33000,20
GAZP,0,20121008,104851,158.33000,1000
GAZP,0,20121008,104851,158.33000,100
GAZP,0,20121008,104851,158.33000,300
GAZP,0,20121008,104852,158.33000,100
GAZP,0,20121008,104852,158.33000,400
GAZP,0,20121008,104852,158.33000,400
GAZP,0,20121008,104852,158.33000,400
GAZP,0,20121008,104852,158.33000,400
GAZP,0,20121008,104853,158.33000,400
GAZP,0,20121008,104853,158.34000,20
GAZP,0,20121008,104853,158.33000,100
GAZP,0,20121008,104853,158.33000,300
GAZP,0,20121008,104853,158.33000,200
GAZP,0,20121008,104853,158.33000,100
GAZP,0,20121008,104858,158.34000,920
GAZP,0,20121008,104901,158.33000,240
GAZP,0,20121008,104905,158.33000,100
GAZP,0,20121008,104907,158.33000,400
GAZP,0,20121008,104907,158.33000,400
GAZP,0,20121008,104908,158.33000,400
GAZP,0,20121008,104908,158.33000,400
GAZP,0,20121008,104908,158.33000,10
GAZP,0,20121008,104908,158.33000,400
GAZP,0,20121008,104908,158.33000,400
GAZP,0,20121008,104908,158.33000,10
GAZP,0,20121008,104909,158.33000,400
GAZP,0,20121008,104909,158.33000,300
GAZP,0,20121008,104909,158.33000,200
GAZP,0,20121008,104913,158.34000,100
GAZP,0,20121008,104913,158.33000,1340
GAZP,0,20121008,104914,158.32000,10
GAZP,0,20121008,104917,158.31000,10
GAZP,0,20121008,104919,158.31000,10
GAZP,0,20121008,104922,158.31000,380
GAZP,0,20121008,104922,158.32000,200
GAZP,0,20121008,104922,158.32000,1500
GAZP,0,20121008,104922,158.33000,1250
GAZP,0,20121008,104922,158.33000,2590
GAZP,0,20121008,104926,158.34000,3770
GAZP,0,20121008,104929,158.31000,10
GAZP,0,20121008,104929,158.30000,390
GAZP,0,20121008,104931,158.30000,100
GAZP,0,20121008,104932,158.33000,280
GAZP,0,20121008,104932,158.34000,10400
GAZP,0,20121008,104932,158.35000,30
GAZP,0,20121008,104932,158.36000,2000
GAZP,0,20121008,104932,158.36000,2000
GAZP,0,20121008,104932,158.37000,2750
